scenario,replicate,semester,cumulative_k
Small lab,114,2,1.956
Small lab,114,3,2.933
Small lab,115,1,0.934
Small lab,115,2,1.873
Small lab,115,3,2.817
Small lab,116,1,0.908
Small lab,116,2,1.865
Small lab,116,3,2.789
Small lab,117,1,0.966
Small lab,117,2,1.941
Small lab,117,3,2.907
Small lab,118,1,0.925
Small lab,118,2,1.872
Small lab,118,3,2.782
Small lab,119,1,0.972
Small lab,119,2,1.829
Small lab,119,3,2.751
Small lab,120,1,0.957
Small lab,120,2,1.981
Small lab,120,3,2.939
Small lab,121,1,0.956
Small lab,121,2,1.883
Small lab,121,3,2.831
Small lab,122,1,0.931
Small lab,122,2,1.901
Small lab,122,3,2.852
Small lab,123,1,0.994
Small lab,123,2,1.915
Small lab,123,3,2.878
Small lab,124,1,0.96
Small lab,124,2,1.831
Small lab,124,3,2.768
Small lab,125,1,0.925
Small lab,125,2,1.879
Small lab,125,3,2.851
Small lab,126,1,0.922
Small lab,126,2,1.844
Small lab,126,3,2.813
Small lab,127,1,0.956
Small lab,127,2,1.871
Small lab,127,3,2.773
Small lab,128,1,0.905
Small lab,128,2,1.849
Small lab,128,3,2.785
Small lab,129,1,0.947
Small lab,129,2,1.863
Small lab,129,3,2.788
Small lab,130,1,0.943
Small lab,130,2,1.876
Small lab,130,3,2.792
Small lab,131,1,0.946
Small lab,131,2,1.863
Small lab,131,3,2.783
Small lab,132,1,0.952
Small lab,132,2,1.955
Small lab,132,3,2.903
Small lab,133,1,0.966
Small lab,133,2,1.873
Small lab,133,3,2.842
Small lab,134,1,0.923
Small lab,134,2,1.851
Small lab,134,3,2.757
Small lab,135,1,0.942
Small lab,135,2,1.91
Small lab,135,3,2.877
Small lab,136,1,0.912
Small lab,136,2,1.882
Small lab,136,3,2.901
Small lab,137,1,0.974
Small lab,137,2,1.932
Small lab,137,3,2.875
Small lab,138,1,0.936
Small lab,138,2,1.888
Small lab,138,3,2.815
Small lab,139,1,0.976
Small lab,139,2,1.895
Small lab,139,3,2.8
Small lab,140,1,0.917
Small lab,140,2,1.882
Small lab,140,3,2.832
Small lab,141,1,0.908
Small lab,141,2,1.855
Small lab,141,3,2.789
Small lab,142,1,0.97
Small lab,142,2,1.89
Small lab,142,3,2.824
Small lab,143,1,0.927
Small lab,143,2,1.841
Small lab,143,3,2.838
Small lab,144,1,0.914
Small lab,144,2,1.916
Small lab,144,3,2.899
Small lab,145,1,0.946
Small lab,145,2,1.859
Small lab,145,3,2.831
Small lab,146,1,0.959
Small lab,146,2,1.906
Small lab,146,3,2.847
Small lab,147,1,0.962
Small lab,147,2,1.881
Small lab,147,3,2.874
Small lab,148,1,0.926
Small lab,148,2,1.855
Small lab,148,3,2.783
Small lab,149,1,0.906
Small lab,149,2,1.796
